epoch,gen_loss,disc_loss
461,[0.4171482],1.4870927
462,[0.41620633],1.4860494
463,[0.41528878],1.4846258
464,[0.41446602],1.4834146
465,[0.41372856],1.48211
466,[0.41299444],1.4809055
467,[0.4122857],1.47965
468,[0.41147584],1.478555
469,[0.41064867],1.477071
470,[0.40988433],1.4762216
471,[0.40922624],1.474649
472,[0.40848213],1.4738276
473,[0.4076306],1.4722435
474,[0.40672174],1.4711123
475,[0.40587828],1.4698808
476,[0.40508342],1.4685848
477,[0.40433785],1.4676346
478,[0.40361148],1.4661216
479,[0.40291652],1.4651862
480,[0.4022318],1.4638133
481,[0.40158966],1.4627254
482,[0.4010415],1.4615397
483,[0.40048313],1.460321
484,[0.39977702],1.4592443
485,[0.3991082],1.458013
486,[0.3985045],1.4568472
487,[0.39787942],1.4558239
488,[0.39682722],1.4545279
489,[0.39567727],1.4532828
490,[0.39476788],1.4522338
491,[0.3942182],1.4507592
492,[0.39383268],1.4501057
493,[0.39317337],1.4484541
494,[0.3923547],1.4476769
495,[0.39137307],1.4461854
496,[0.39052612],1.4451532
497,[0.3898989],1.4440032
498,[0.38938433],1.4427965
499,[0.38884664],1.4418056
500,[0.3880753],1.4405533
501,[0.38729057],1.4393103
502,[0.3865338],1.438438
503,[0.38586548],1.4368796
504,[0.38524455],1.4361818
505,[0.38456023],1.4345357
506,[0.38385093],1.4338826
507,[0.3831066],1.4323983
508,[0.38241056],1.4313967
509,[0.38179368],1.43029
510,[0.38121092],1.4290705
511,[0.38062337],1.4281008
512,[0.37992677],1.427
513,[0.37923822],1.4255819
514,[0.3785471],1.4249676
515,[0.37781888],1.4232296
516,[0.37708092],1.4226747
517,[0.37643367],1.4211329
518,[0.37591684],1.4202706
519,[0.37538603],1.4190528
520,[0.3747443],1.4178693
521,[0.3740099],1.416786
522,[0.37327594],1.4156239
523,[0.37258714],1.4144878
524,[0.37200674],1.4134591
525,[0.3715627],1.412251
526,[0.3710487],1.4112172
527,[0.3704123],1.4100858
528,[0.36958647],1.4088408
529,[0.3688128],1.4078836
530,[0.36817646],1.4065187
531,[0.36768663],1.4057293
532,[0.3671452],1.4043003
533,[0.36649913],1.4035093
534,[0.36581773],1.4021952
535,[0.3653154],1.4010503
536,[0.36500573],1.4003065
537,[0.36464515],1.3987436
538,[0.36398724],1.3982112
539,[0.3632844],1.3967345
540,[0.3625943],1.3958054
541,[0.36206594],1.394738
542,[0.36142218],1.3935714
543,[0.3607345],1.3924818
544,[0.36001277],1.3915462
545,[0.35933137],1.3900654
546,[0.3587352],1.389426
547,[0.3581413],1.3880656
548,[0.35758254],1.3870822
549,[0.35708016],1.3862665
550,[0.35655195],1.3846989
551,[0.35586402],1.3842494
552,[0.35515195],1.3825986
553,[0.35453144],1.3818867
554,[0.35403597],1.3807509
555,[0.353549],1.3795724
556,[0.3530025],1.378653
557,[0.35240698],1.377414
558,[0.3518508],1.3763114
559,[0.35134923],1.3754513
560,[0.35085452],1.3740408
561,[0.3503442],1.373322
562,[0.34981978],1.3719691
563,[0.34924534],1.3710461
564,[0.34860736],1.3698578
565,[0.34791273],1.3686775
566,[0.34725633],1.3677086
567,[0.34669548],1.3665662
568,[0.3462717],1.3654858
569,[0.34591153],1.3644998
570,[0.3454089],1.3633592
571,[0.34475842],1.3622717
572,[0.34409058],1.3613521
573,[0.34353954],1.3600751
574,[0.34311068],1.3593311
575,[0.34269518],1.3581057
576,[0.3422727],1.3571281
577,[0.34188306],1.3562295
578,[0.34147313],1.3547761
579,[0.34092999],1.354245
580,[0.34026754],1.3525702
581,[0.3396122],1.3518305
582,[0.33903342],1.3506296
583,[0.33849466],1.3495178
584,[0.33789787],1.348642
585,[0.33731103],1.3474436
586,[0.33683875],1.3465135
587,[0.33646545],1.345593
588,[0.33603314],1.3445537
589,[0.33546925],1.3434094
590,[0.33486158],1.3425692
591,[0.3342842],1.3412278
592,[0.33373243],1.3405666
593,[0.33319518],1.3392657
594,[0.33268934],1.3383374
595,[0.3322514],1.337425
596,[0.33187968],1.3362536
597,[0.33152014],1.335604
598,[0.3310936],1.3342943
599,[0.33065563],1.3335503
600,[0.3301689],1.3323903
601,[0.32966897],1.3313859
602,[0.32917702],1.3304415
603,[0.32863474],1.3293614
604,[0.32816288],1.3283875
605,[0.32770872],1.3274236
606,[0.32723343],1.3263998
607,[0.32669508],1.3254323
608,[0.32611358],1.3244815
609,[0.32558143],1.323411
610,[0.3250902],1.3224771
611,[0.32462958],1.3214364
612,[0.32418114],1.3206122
613,[0.32374996],1.319588
614,[0.3233195],1.3186426
615,[0.32284865],1.3176348
616,[0.3223238],1.3166401
617,[0.32177457],1.3156426
618,[0.3212542],1.3147318
619,[0.32082915],1.3136909
620,[0.32051384],1.3129568
621,[0.3202122],1.3117626
622,[0.31983507],1.3112168
623,[0.31936675],1.3099617
624,[0.3188399],1.3092635
625,[0.3183121],1.3081559
626,[0.31779954],1.3071437
627,[0.31736523],1.3063713
628,[0.31697744],1.3052917
629,[0.3165972],1.3045005
630,[0.31616277],1.3035477
631,[0.31566098],1.3025421
632,[0.3151167],1.3017185
633,[0.3146355],1.3007864
634,[0.31421596],1.2998507
635,[0.31386703],1.2991134
636,[0.31346983],1.2980379
637,[0.312981],1.2973297
638,[0.3124516],1.2963328
639,[0.3119484],1.295352
640,[0.31152016],1.2947212
641,[0.31113118],1.2935791
642,[0.31075937],1.2930241
643,[0.3103692],1.2918811
644,[0.30993307],1.291102
645,[0.30947337],1.2902107
646,[0.30903506],1.2892551
647,[0.30867034],1.2885196
648,[0.30832672],1.2876129
649,[0.30793834],1.286807
650,[0.30744156],1.2859246
651,[0.30693147],1.2848773
652,[0.30645573],1.2841322
653,[0.30606776],1.2832482
654,[0.3057073],1.2824788
655,[0.30527785],1.2816541
656,[0.3047822],1.2807343
657,[0.30429283],1.2799965
658,[0.30388182],1.2791235
659,[0.30350247],1.2783158
660,[0.30309573],1.2775087
661,[0.30267662],1.2766683
662,[0.3022997],1.275831
663,[0.30203077],1.2751307
664,[0.30177963],1.274198
665,[0.30141586],1.2736247
666,[0.30093527],1.2726551
667,[0.300435],1.2719513
668,[0.2999922],1.2710814
669,[0.2995266],1.2703055
670,[0.29906297],1.2694468
671,[0.29862672],1.2686392
672,[0.29822636],1.267807
673,[0.29785988],1.2671452
674,[0.29749754],1.2663203
675,[0.29717284],1.2655094
676,[0.2968111],1.2648084
677,[0.296409],1.2639476
678,[0.29591578],1.2633156
679,[0.29543245],1.2624083
680,[0.2950194],1.261625
681,[0.2946966],1.2609775
682,[0.29438323],1.2601128
683,[0.29404512],1.2594259
684,[0.29365012],1.2586764
685,[0.29323477],1.2578276
686,[0.29278108],1.2571459
687,[0.2922996],1.2561941
688,[0.29184228],1.2555451
689,[0.29145017],1.2547678
690,[0.2911388],1.2539594
691,[0.29086882],1.2533638
692,[0.29054368],1.2524699
693,[0.29016998],1.251863
694,[0.28979176],1.2509806
695,[0.28944558],1.2503366
696,[0.28919718],1.2496018
697,[0.2888803],1.2488885
698,[0.28851655],1.2481992
699,[0.2879696],1.2473962
700,[0.28740534],1.2465453
701,[0.28692943],1.2458944
702,[0.28654894],1.245043
703,[0.2862558],1.2444265
704,[0.28598237],1.2436044
705,[0.2856506],1.242965
706,[0.28520745],1.242214
707,[0.28471655],1.2414315
708,[0.28429762],1.2407076
709,[0.28400117],1.2400454
710,[0.2837847],1.2392907
711,[0.2835044],1.2386892
712,[0.28309232],1.2378772
713,[0.28261963],1.2372347
714,[0.28221458],1.2364178
715,[0.28187838],1.2358403
716,[0.28156692],1.2350228
717,[0.2812571],1.2344822
718,[0.2809195],1.2335727
719,[0.28058305],1.2330701
720,[0.28021654],1.2322605
721,[0.2798447],1.2316628
722,[0.27950245],1.2310324
723,[0.27915448],1.230274
724,[0.27876455],1.2297099
725,[0.27832836],1.2289536
726,[0.27788952],1.2283399
727,[0.2774693],1.22767
728,[0.27709696],1.2269086
729,[0.27679357],1.22641
730,[0.27651027],1.225652
731,[0.27624407],1.2250805
732,[0.27596724],1.224427
733,[0.27571034],1.2237089
734,[0.2754159],1.223247
735,[0.27510977],1.2224104
736,[0.27473828],1.2219119
737,[0.27433723],1.2211354
738,[0.2738886],1.2206028
739,[0.27346134],1.219922
740,[0.2730853],1.2193346
741,[0.27276382],1.2186875
742,[0.27247298],1.218178
743,[0.27214834],1.2174735
744,[0.2717808],1.2168144
