epoch,gen_loss,disc_loss
594,[3.6263936],1.0198706
595,[3.6196668],1.0197775
596,[3.6129644],1.0196848
597,[3.6062858],1.019592
598,[3.5996292],1.0194999
599,[3.5929954],1.0194087
600,[3.586385],1.0193183
601,[3.5797946],1.0192286
602,[3.5732238],1.0191398
603,[3.5666754],1.0190518
604,[3.5601492],1.0189644
605,[3.5536425],1.0188777
606,[3.5471525],1.0187914
607,[3.5406845],1.0187062
608,[3.5342362],1.0186216
609,[3.5278125],1.0185375
610,[3.5214112],1.0184543
611,[3.515033],1.0183716
612,[3.5086787],1.0182893
613,[3.5023446],1.0182074
614,[3.4960313],1.0181258
615,[3.4897394],1.0180446
616,[3.483468],1.0179642
617,[3.4772177],1.0178845
618,[3.470987],1.0178051
619,[3.4647782],1.0177261
620,[3.4585915],1.0176473
621,[3.452423],1.0175693
622,[3.4462774],1.0174912
623,[3.4401538],1.0174129
624,[3.4340515],1.0173348
625,[3.4279695],1.0172573
626,[3.4219081],1.0171802
627,[3.415866],1.0171037
628,[3.4098434],1.0170276
629,[3.40384],1.0169523
630,[3.3978581],1.0168774
631,[3.3918948],1.0168033
632,[3.385948],1.0167301
633,[3.3800225],1.0166569
634,[3.3741183],1.0165842
635,[3.3682325],1.0165116
636,[3.3623655],1.0164399
637,[3.356516],1.0163691
638,[3.3506851],1.0162994
639,[3.3448744],1.01623
640,[3.3390825],1.0161612
641,[3.3333104],1.0160929
642,[3.3275568],1.0160248
643,[3.3218224],1.0159574
644,[3.3161054],1.0158907
645,[3.3104024],1.0158246
646,[3.3047163],1.0157585
647,[3.2990506],1.0156927
648,[3.2934017],1.0156276
649,[3.287768],1.0155632
650,[3.282151],1.0154989
651,[3.2765524],1.0154347
652,[3.2709708],1.0153711
653,[3.2654083],1.015308
654,[3.2598636],1.0152462
655,[3.254333],1.0151846
656,[3.2488196],1.0151235
657,[3.243324],1.0150628
658,[3.237847],1.0150021
659,[3.2323852],1.0149416
660,[3.2269402],1.0148814
661,[3.2215114],1.0148213
662,[3.216104],1.0147614
663,[3.2107134],1.0147016
664,[3.2053356],1.0146418
665,[3.199975],1.0145823
666,[3.1946337],1.0145231
667,[3.1893086],1.0144643
668,[3.184],1.0144056
669,[3.1787095],1.014347
670,[3.1734354],1.0142882
671,[3.1681776],1.0142301
672,[3.1629355],1.0141727
673,[3.157708],1.0141158
674,[3.1524966],1.0140588
675,[3.1473017],1.0140021
676,[3.142123],1.0139455
